Done. Total verifications : 9947, rules 33,control number:0, times: prep 0.07850193977355957, processing 6.905624866485596
Step 5, rules_count=33, act_base = 62.5, act_ratioconf = 1.2411265432098768
RESULT ACHIEVED. RatioConf = 1.2411265432098768, Base = 62.5, Rules count = 33

List of rules:
RULEID BASE1 BASE2 RatioConf DeltaConf Rule
     1    67   357    1.330    +0.112  Martial_Status(Married-civ-spouse) & Education(10th 11th 12th HS-grad) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    20   137   603    1.476    +0.147  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college Assoc-voc Assoc-acdm) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    21   128   746    1.283    +0.123  Martial_Status(Married-civ-spouse) & Education(HS-grad Some-college Assoc-voc Assoc-acdm) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    22    77   327    1.318    +0.125  Martial_Status(Married-civ-spouse) & Education(Some-college Assoc-voc Assoc-acdm) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    23    64   419    1.267    +0.138  Martial_Status(Married-civ-spouse) & Education(Some-college Assoc-voc Assoc-acdm) & Age_b((40,50>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    24    63   199    1.270    +0.144  Martial_Status(Married-civ-spouse) & Education(Some-college Assoc-voc Assoc-acdm) & Occupation(Prof-specialty) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    25   148   642    1.246    +0.118  Martial_Status(Married-civ-spouse) & Education(Some-college Assoc-voc Assoc-acdm Bachelors) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    26   101   424    1.253    +0.139  Martial_Status(Married-civ-spouse) & Education(Assoc-voc Assoc-acdm Bachelors) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    27   117   348    1.247    +0.164  Martial_Status(Married-civ-spouse) & Education(Assoc-voc Assoc-acdm Bachelors Masters) & Age_b((30,40>) & Occupation(Prof-specialty) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    28   121   513    1.247    +0.139  Martial_Status(Married-civ-spouse) & Education(Assoc-voc Assoc-acdm Bachelors Masters) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    29   105   340    1.245    +0.165  Martial_Status(Married-civ-spouse) & Education(Assoc-acdm Bachelors Masters) & Age_b((30,40>) & Occupation(Prof-specialty) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    30   238  1092    1.405    +0.146  Martial_Status(Married-civ-spouse) & Age_b((30,40>) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    31    68   103    1.264    +0.135  Martial_Status(Married-civ-spouse) & Age_b((40,50>) & Occupation(Adm-clerical) & Hours_per_week_b((30,40>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    32    86    85    2.093    +0.180  Martial_Status(Married-civ-spouse) & Hours_per_week_b((10,20>) => Income(>50K) | --- : Sex(Female) x Sex(Male)
    33    90   109    2.029    +0.183  Martial_Status(Married-civ-spouse) & Hours_per_week_b((20,30>) => Income(>50K) | --- : Sex(Female) x Sex(Male)

[{'step_id': 1, 'rule_cnt': 0, 'ratioconf': 1.5, 'base': 1000}, {'step_id': 2, 'rule_cnt': 0, 'ratioconf': 1.4166666666666667, 'base': 500.0}, {'step_id': 3, 'rule_cnt': 0, 'ratioconf': 1.3472222222222223, 'base': 250.0}, {'step_id': 4, 'rule_cnt': 2, 'ratioconf': 1.289351851851852, 'base': 125.0}, {'step_id': 5, 'rule_cnt': 33, 'ratioconf': 1.2411265432098768, 'base': 62.5}]
RESULT ACHIEVED
